0.000000	0.000000	23.996622
4.370125	0.000000	23.917608
4.365750	0.000000	23.849325
4.358625	0.000000	23.786421
4.350125	0.000000	23.718424
4.343000	0.000000	23.655752
4.334500	0.000000	23.598408
4.324625	0.000000	23.546349
4.315875	0.000000	23.499449
4.300750	0.000000	23.447414
4.290875	0.000000	23.359261
4.287875	0.000000	23.312632
4.275250	0.000000	23.250572
4.266750	0.000000	23.198923
4.258000	0.000000	23.147272
4.244250	0.000000	23.109222
4.230500	0.000000	23.045538
4.223625	0.000000	23.021246
4.207375	0.000000	22.954203
4.200250	0.000000	22.897594
4.192875	0.000000	22.839323
4.182125	0.000000	22.777750
4.173625	0.000000	22.731585
4.161000	0.000000	22.675228
4.151125	0.000000	22.629122
4.139875	0.000000	22.577919
4.127250	0.000000	22.516582
4.118750	0.000000	22.460434
4.108875	0.000000	22.399292
4.100375	0.000000	22.343321
4.090500	0.000000	22.301065
4.078125	0.000000	22.248775
4.071000	0.000000	22.215153
4.055000	0.000000	22.174416
4.041000	0.000000	22.118473
4.031125	0.000000	22.057556
4.022625	0.000000	21.995363
4.018250	0.000000	22.001358
4.008375	0.000000	21.995440
3.999875	0.000000	21.997833
3.987250	0.000000	22.002045
3.976000	0.000000	21.994253
3.966125	0.000000	21.991920
3.960375	0.000000	21.997992
3.950500	0.000000	22.000420
3.937875	0.000000	21.998075
3.932125	0.000000	21.990175
3.922250	0.000000	21.996304
3.912375	0.000000	21.997267
3.903875	0.000000	22.001965
3.898125	0.000000	21.994001
3.888250	0.000000	21.996834
3.881125	0.000000	21.994064
3.869875	0.000000	22.000284
3.860000	0.000000	21.996019
3.852875	0.000000	21.996998
3.844375	0.000000	21.997986
3.835875	0.000000	22.004263
3.826000	0.000000	21.996168
3.816125	0.000000	21.997158
3.807625	0.000000	21.996246
3.797750	0.000000	22.004496
3.789250	0.000000	21.992477
3.776625	0.000000	22.000772
3.768125	0.000000	21.996403
3.761000	0.000000	21.995476
3.751125	0.000000	21.992611
3.739875	0.000000	21.999050
3.730000	0.000000	21.996569
3.724250	0.000000	21.999535
3.717125	0.000000	21.998608
3.707250	0.000000	21.992199
3.698750	0.000000	21.998701
3.688875	0.000000	21.996195
3.683125	0.000000	21.993675
3.677375	0.000000	21.998653
3.671625	0.000000	21.999687
3.663125	0.000000	21.996767
3.651875	0.000000	21.995823
3.642000	0.000000	21.991291
3.634875	0.000000	21.991911
3.620875	0.000000	21.998547
3.611000	0.000000	22.003208
3.599750	0.000000	21.994596
3.589875	0.000000	21.999283
3.578625	0.000000	21.990614
3.568750	0.000000	22.001425
3.561625	0.000000	21.994764
3.553125	0.000000	22.001539
3.543250	0.000000	21.996885
3.536125	0.000000	21.997950
3.527625	0.000000	21.999037
3.519125	0.000000	21.994343
3.512000	0.000000	22.001204
3.502125	0.000000	21.998564
3.496375	0.000000	22.001314
3.483750	0.000000	21.994495
3.475250	0.000000	22.001417
3.465375	0.000000	21.994566
3.456875	0.000000	4.055000
3.447000	0.000000	21.996767
3.439875	0.000000	21.994081
3.434125	0.000000	21.996872
3.421500	0.000000	22.006029
3.413000	0.000000	21.992680
3.400375	0.000000	22.001894
3.391875	0.000000	21.992741
3.382000	0.000000	21.995996
3.374875	0.000000	22.001415
3.369125	0.000000	21.992214
3.359250	0.000000	22.005871
3.351000	0.000000	21.996630
3.341125	0.000000	21.997768
3.332625	0.000000	21.996738
3.322750	0.000000	21.995686
3.312875	0.000000	22.001211
3.307125	0.000000	21.991821
3.297250	0.000000	21.996922
3.286000	0.000000	21.995861
3.276125	0.000000	21.997019
3.267625	0.000000	21.991968
3.260500	0.000000	21.999344
3.250625	0.000000	21.992037
3.242125	0.000000	22.003935
3.235000	0.000000	21.998850
3.227875	0.000000	21.991482
3.219375	0.000000	22.001215
3.210875	0.000000	21.991547
3.201000	0.000000	21.999060
3.191125	0.000000	22.000237
3.182625	0.000000	21.994576
3.170000	0.000000	21.991659
3.164250	0.000000	21.999266
0.000000	0.000000	21.991724
3.145875	0.000000	22.003984
3.138750	0.000000	21.994120
3.128875	0.000000	21.995327
3.120375	0.000000	21.989544
3.107750	0.000000	21.999617
3.099250	0.000000	21.989603
3.089375	0.000000	21.995037
3.078125	0.000000	22.002863
3.068250	0.000000	21.992758
3.058375	0.000000	21.993979
3.049875	0.000000	21.992846
3.040000	0.000000	21.992191
3.035625	0.000000	21.993418
3.027125	0.000000	21.999464
3.021375	0.000000	21.989191
3.011500	0.000000	21.992340
2.998875	0.000000	21.994108
2.999625	0.000000	22.000462
2.999750	0.000000	21.986084
2.999750	0.000000	21.994604
2.997875	0.000000	21.998787
3.000000	0.000000	22.000546
2.999500	0.000000	21.986378
3.000375	0.000000	21.997322
3.001125	0.000000	21.999090
2.999375	0.000000	21.996515
3.000375	0.000000	21.989101
2.999875	0.000000	22.004374
2.999125	0.000000	22.001558
2.999250	0.000000	21.998749
2.999375	0.000000	21.996174
3.000375	0.000000	22.002520
2.999250	0.000000	22.002115
3.000750	0.000000	21.987965
3.001625	0.000000	21.989725
3.001125	0.000000	21.989073
2.999250	0.000000	21.984095
3.001375	0.000000	21.990686
3.001125	0.000000	21.999201
3.000500	0.000000	21.989626
3.000750	0.000000	21.991140
2.998125	0.000000	21.997746
3.001625	0.000000	21.997097
2.999750	0.000000	21.987276
2.999125	0.000000	21.993881
3.001375	0.000000	21.993212
2.999500	0.000000	21.994989
2.999000	0.000000	21.989996
3.001125	0.000000	22.000921
2.999375	0.000000	21.998116
2.999500	0.000000	21.995296
2.999625	0.000000	21.997076
